@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
37,10,12,20,5,?
37,13,25,25,2,13
34,10,10,13,2,18
35,13,17,17,3,20
52,16,19,19,4,?
29,13,18,18,5,?
41,13,17,20,5,?
20,14,14,14,6,19
20,10,16,16,1,14
51,15,15,17,4,?
17,12,14,0,3,14
20,12,17,17,2,10
51,5,6,7,2,6
41,11,18,27,2,15
48,8,14,16,4,?
26,8,14,14,6,14
29,9,19,21,3,16
36,11,17,20,2,12
30,8,13,13,2,8
31,14,19,22,3,1
30,6,17,17,3,29
43,12,14,20,4,?
39,12,15,17,4,?
32,11,12,12,4,?
17,10,13,0,3,11
67,13,18,21,4,?
19,12,14,0,3,16
20,10,9,16,1,15
37,19,24,24,1,22
24,6,16,16,3,1
33,10,14,18,2,1
22,9,14,17,1,15
17,10,14,0,6,1
23,6,0,0,3,1
23,12,17,18,2,15
47,10,15,18,4,?
25,5,18,22,1,16
36,4,14,19,2,1
35,8,14,21,2,7
18,6,15,16,3,15
28,12,12,16,3,1
30,17,18,21,5,?
28,15,15,15,6,22
18,11,0,0,6,17
25,7,19,19,3,16
21,13,14,19,2,15
42,15,21,21,2,15
30,12,13,17,1,16
45,14,15,22,4,?
57,15,20,23,4,?
49,12,13,14,2,1
26,5,15,15,2,1
34,10,19,19,1,19
41,8,10,10,2,12
29,8,14,15,2,1
22,14,15,17,3,16
31,12,18,27,4,?
18,12,13,15,3,12
28,18,15,16,2,17
20,12,14,17,2,1
43,12,17,17,4,?
62,14,14,16,3,1
30,6,11,14,3,13
31,12,13,18,1,1
21,5,18,18,3,13
28,5,14,21,6,1
33,12,14,16,3,15
29,8,16,16,3,21
29,12,12,16,3,9
34,7,17,19,3,33
32,10,14,18,4,?
28,6,13,19,1,15
20,14,15,15,1,15
40,12,16,16,2,22
34,10,16,21,2,12
65,12,12,16,5,?
20,14,0,0,2,14
21,10,19,19,3,15
34,12,12,18,3,15
38,8,14,19,5,?
31,12,13,16,3,17
